frame,bowling_arm_elbow_angle,bowling_arm_shoulder_angle,front_leg_brace_angle,bowling_arm_wrist_x,bowling_arm_wrist_y,bowling_arm_wrist_z,bowling_arm_shoulder_x,bowling_arm_shoulder_y,bowling_arm_shoulder_z,nose_y,bowling_arm_wrist_y_2d,bowling_arm_vertical_angle,bowling_arm_horizontal_angle_from_plane
10,107.86730745386552,105.88004098618957,138.29865988398927,-0.19620643556118011,-0.6809045672416687,-0.23546947538852692,-0.22016559541225433,-0.4483617842197418,-0.07954921573400497,0.1817852258682251,0.17201079428195953,34.15184024473939,55.8481597552606
11,106.24162042013299,106.15639392872328,138.39374034426882,-0.19934603571891785,-0.6839562058448792,-0.24934445321559906,-0.22565491497516632,-0.44853076338768005,-0.09149634838104248,0.18393388390541077,0.17201219499111176,34.2050938680417,55.79490613195831
12,99.13058197405385,105.64057417879933,137.90879719932957,-0.20145611464977264,-0.6860529184341431,-0.21296262741088867,-0.23105408251285553,-0.4476109743118286,-0.09715352207422256,0.1846574991941452,0.17166347801685333,26.624721370919758,63.375278629080235
13,98.2198744154754,103.86168508934394,138.34458056968106,-0.20248645544052124,-0.6849532723426819,-0.20603130757808685,-0.2323383390903473,-0.4454754889011383,-0.09729420393705368,0.18496552109718323,0.17122715711593628,25.21383569882758,64.7861643011724
14,99.38821065967554,104.31703878373393,135.7579344369825,-0.19156025350093842,-0.6859526038169861,-0.19296637177467346,-0.23423200845718384,-0.4454588294029236,-0.09602496027946472,0.1874815672636032,0.17087261378765106,23.769498326878022,66.23050167312196
15,106.27114617796164,105.08099216085829,136.19145338255302,-0.18297700583934784,-0.686626672744751,-0.2324802577495575,-0.23579715192317963,-0.4451269507408142,-0.10352352261543274,0.18778611719608307,0.16966845095157623,29.986659918354036,60.013340081645964
16,109.92191055170423,105.05657167398273,136.6169022590866,-0.17115876078605652,-0.6855592727661133,-0.24548694491386414,-0.23570513725280762,-0.44518765807151794,-0.10654903203248978,0.18765142560005188,0.16963006556034088,32.51111072946094,57.48888927053907
17,109.40609588627098,103.00692115392789,138.26957037223295,-0.16381417214870453,-0.6798787117004395,-0.2606959044933319,-0.2366010695695877,-0.44444340467453003,-0.11395246535539627,0.1873963326215744,0.16952545940876007,34.8281566665452,55.1718433334548
18,113.5686897110656,103.43399747725664,138.0974824459883,-0.1632191240787506,-0.6804408431053162,-0.28579339385032654,-0.23647257685661316,-0.444626122713089,-0.11594187468290329,0.18581806123256683,0.1694355607032776,38.11086962577579,51.8891303742242
19,114.5576260830879,103.12195204032281,137.5485737907647,-0.16493944823741913,-0.6808675527572632,-0.288830429315567,-0.23567968606948853,-0.44621407985687256,-0.11466215550899506,0.18567226827144623,0.16943266987800598,38.698989568629884,51.30101043137012
20,114.08100537864077,103.41977548961954,137.68961714687163,-0.1574586182832718,-0.6811126470565796,-0.285274863243103,-0.2351611703634262,-0.4466931223869324,-0.11821330338716507,0.1857052892446518,0.16924823820590973,38.166448272966164,51.83355172703382
21,103.49444804883264,102.35965076864886,136.59524826178694,-0.16034166514873505,-0.6799627542495728,-0.24348866939544678,-0.23516233265399933,-0.44640254974365234,-0.1178787499666214,0.18539096415042877,0.16949434578418732,32.0459656394311,57.95403436056889
22,98.57457243374509,99.68438868296643,135.92296889548965,-0.16170211136341095,-0.6729435920715332,-0.23187817633152008,-0.23497724533081055,-0.4462738335132599,-0.1197635680437088,0.18526983261108398,0.17005713284015656,30.57830363998829,59.4216963600117
23,90.19740539327792,100.74097421759588,135.1726120027517,-0.1627085953950882,-0.6692019104957581,-0.138347327709198,-0.23619142174720764,-0.4447237253189087,-0.11896349489688873,0.1851019561290741,0.17027942836284637,18.703381229906597,71.2966187700934
24,101.16138842383431,100.42709325672448,133.83435593064286,-0.17406179010868073,-0.6701717972755432,-0.20863483846187592,-0.23328666388988495,-0.44474703073501587,-0.11840534210205078,0.1849769651889801,0.17052263021469116,25.584461156347345,64.41553884365266
